erp_system,source_account,source_account_name,mapping_type,expected_group_account,requested_group_account,required_line_attributes,group_account_name,statement,substituted_because_unavailable
KESTREL,00091600,Temporary Staff,SPLIT,510300,525100,cost_center_function=PRODUCTION,Freight and logistics,IS,TRUE
KESTREL,00090000,Cost of Materials,DIRECT,510100,525200,,Duties and tariffs,IS,TRUE
KESTREL,00081000,Change in Finished Goods Inventory,DERIVED,530100,530100,presentation=TOTAL_COST_METHOD,Inventory adjustments and scrap,IS,FALSE
KESTREL,00090000,Cost of Materials,DIRECT,510100,530200,,Warranty expense,IS,TRUE
KESTREL,00091600,Temporary Staff,SPLIT,510300,535100,cost_center_function=PRODUCTION,Contract estimate-at-completion adjustments,IS,TRUE
KESTREL,00090600,Intercompany Cost of Materials,DIRECT,590100,590100,,Intercompany cost of sales - product,IS,FALSE
KESTREL,00090600,Intercompany Cost of Materials,DIRECT,590100,590200,,Intercompany cost of sales - services,IS,TRUE
KESTREL,00091000,Wages and Salaries,SPLIT,610100,610100,cost_center_function=SGA,Salaries and wages,IS,FALSE
KESTREL,00091400,Pension and Benefit Costs,SPLIT,610200,610200,cost_center_function=SGA,Employee benefits,IS,FALSE
KESTREL,00091200,Social Security Contributions,SPLIT,610300,610300,cost_center_function=SGA,Payroll taxes,IS,FALSE
KESTREL,00091000,Wages and Salaries,SPLIT,610100,610400,cost_center_function=SGA,Bonus and incentive compensation,IS,TRUE
KESTREL,00091600,Temporary Staff,SPLIT,610600,610600,cost_center_function=SGA,Contract and temporary labour,IS,FALSE
KESTREL,00097900,Other Operating Expenses,DIRECT,670400,610700,,Recruitment and relocation,IS,TRUE
KESTREL,00097900,Other Operating Expenses,DIRECT,670400,610800,,Training and development,IS,TRUE
KESTREL,00093000,Rent and Leases,SPLIT,620100,620100,cost_center_function=SGA,Rent and occupancy,IS,FALSE
KESTREL,00093200,Energy and Utilities,SPLIT,620200,620200,cost_center_function=SGA,Utilities,IS,FALSE
KESTREL,00093400,Repairs and Maintenance,DIRECT,620300,620300,,Repairs and maintenance - facilities,IS,FALSE
KESTREL,00093600,Insurance and Property Charges,DIRECT,620400,620400,,Property taxes and insurance,IS,FALSE
KESTREL,00094000,Legal and Advisory Costs,SPLIT,630100,630100,advisor_type=AUDIT,Audit and accounting fees,IS,FALSE
KESTREL,00094000,Legal and Advisory Costs,SPLIT,630200,630200,advisor_type=LEGAL,Legal fees,IS,FALSE
KESTREL,00094000,Legal and Advisory Costs,SPLIT,630300,630300,advisor_type=CONSULTING,Consulting and advisory fees,IS,FALSE
KESTREL,00094200,Advertising and Marketing,DIRECT,640100,640100,,Advertising and promotion,IS,FALSE
KESTREL,00094300,Trade Fairs,DIRECT,640200,640200,,Trade shows and events,IS,FALSE
KESTREL,00094400,Sales Commissions,DIRECT,640300,640300,,Third-party commissions,IS,FALSE
KESTREL,00094500,Bad Debt Expense,DIRECT,640400,640400,,Bad debt expense,IS,FALSE
KESTREL,00095000,IT and Software Costs,SPLIT,650100,650100,expense_subtype=LICENCE,Software licences and subscriptions,IS,FALSE
KESTREL,00095000,IT and Software Costs,SPLIT,650200,650200,expense_subtype=SERVICES,IT services and support,IS,FALSE
KESTREL,00095200,Telecommunications,DIRECT,650300,650300,,Telecommunications,IS,FALSE
KESTREL,00096000,Travel Expenses,DIRECT,660100,660100,,Travel and entertainment,IS,FALSE
KESTREL,00096400,Vehicle Costs,DIRECT,660200,660200,,Vehicle and fleet,IS,FALSE
KESTREL,00097000,Office Supplies and Postage,DIRECT,670100,670100,,Office supplies and postage,IS,FALSE
KESTREL,00097200,Bank Charges,DIRECT,670200,670200,,Bank charges,IS,FALSE
KESTREL,00097400,Contributions and Fees,DIRECT,670300,670300,,Dues and subscriptions,IS,FALSE
KESTREL,00097900,Other Operating Expenses,DIRECT,670400,670400,,Other operating expenses,IS,FALSE
KESTREL,00098000,Restructuring Expense,SPLIT,680100,680100,cost_type=SEVERANCE,Restructuring - severance,IS,FALSE
KESTREL,00098000,Restructuring Expense,SPLIT,680200,680200,cost_type=FACILITY,Restructuring - facility exit,IS,FALSE
KESTREL,00098400,Integration Programme Costs,DIRECT,680400,680400,,Integration and ERP programme costs,IS,FALSE
KESTREL,00099000,Management Fees to Affiliates,DIRECT,695100,695100,,Intercompany management fee expense,IS,FALSE
KESTREL,00099400,Licence Fees to Affiliates,DIRECT,695300,695300,,Intercompany royalty expense,IS,FALSE
KESTREL,00092000,Depreciation of Tangible Assets,SPLIT,710100,710100,asset_class=PLANT,"Depreciation - property, plant and equipment",IS,FALSE
KESTREL,00100000,Interest and Similar Expenses,SPLIT,730300,730300,instrument_type=LEASE,Interest expense - finance leases,IS,FALSE
KESTREL,00100000,Interest and Similar Expenses,SPLIT,795200,795200,instrument_type=AFFILIATE,Intercompany interest expense,IS,FALSE
KESTREL,00101000,Taxes on Income,DIRECT,810300,810300,,Current income tax - foreign,IS,FALSE
